bg_geoid,population,households,median_household_income
110010001011,1181,803,135708.0
110010001021,1079,771,156440.0
110010001022,1287,573,229199.0
110010001023,690,486,146250.0
110010002011,0,0,
110010002012,2835,0,
110010002021,785,462,250001.0
110010002022,662,286,250001.0
110010002023,843,566,128457.0
110010002024,1674,518,151176.0
110010003001,1053,502,174286.0
110010003002,1595,751,109688.0
110010003003,1719,653,250001.0
110010003004,1302,524,201360.0
110010004001,608,235,250001.0
110010004002,1107,463,144464.0
110010005011,1272,781,97386.0
110010005012,928,596,111513.0
110010005013,1290,843,117396.0
110010005021,1662,728,223833.0
110010005022,1786,1011,140121.0
110010006001,985,605,117583.0
110010006002,814,378,250001.0
110010006003,767,495,103287.0
110010006004,1801,682,250001.0
110010007021,1167,773,151298.0
110010007022,1281,873,51108.0
110010007023,791,536,95156.0
110010007031,1290,899,107292.0
110010007032,1474,979,146446.0
110010007041,1276,810,74253.0
110010007042,1128,648,146786.0
110010008021,2447,1170,128167.0
110010008022,689,288,246667.0
110010008031,839,240,250001.0
110010008032,560,330,88056.0
110010008033,1122,714,107926.0
110010008041,977,358,250001.0
110010008042,901,241,
110010008043,1654,630,250001.0
110010009021,678,270,250001.0
110010009022,1456,580,208000.0
110010009031,2095,0,
110010009032,1106,382,250001.0
110010009041,2016,660,250001.0
110010009042,1234,531,250001.0
110010010021,426,331,31375.0
110010010022,1021,581,163945.0
110010010023,893,548,175048.0
110010010024,1008,502,219667.0
110010010031,971,350,171563.0
110010010032,860,269,250001.0
110010010033,1064,431,250001.0
110010010041,807,281,250001.0
110010010042,1854,832,138750.0
110010010043,1298,437,250001.0
110010011001,1447,672,250001.0
110010011002,1130,476,152917.0
110010011003,465,216,130789.0
110010011004,1466,706,250001.0
110010012001,1907,1091,103239.0
110010012002,1087,503,139432.0
110010012003,693,464,183676.0
110010012004,1024,402,250001.0
110010013011,1332,620,103523.0
110010013012,784,265,250001.0
110010013013,680,494,
110010013014,1169,711,96935.0
110010013031,1037,779,95045.0
110010013032,920,593,99241.0
110010013033,802,388,
110010013034,778,498,153056.0
110010013041,1353,798,139340.0
110010013042,986,714,104094.0
110010013043,675,538,110833.0
110010013044,1069,750,124444.0
110010014011,1967,979,151650.0
110010014012,1357,372,250001.0
110010014021,881,345,250001.0
110010014022,944,410,250001.0
110010014023,1663,899,120795.0
110010015001,1666,547,250001.0
110010015002,796,284,250001.0
110010015003,614,241,250001.0
110010015004,1229,530,250001.0
110010015005,1314,470,250001.0
110010016001,1683,594,250001.0
110010016002,457,225,87188.0
110010016003,1023,375,212841.0
110010016004,1908,595,250001.0
110010017021,1292,599,167891.0
110010017022,2095,1026,103889.0
110010018031,875,407,134768.0
110010018032,1702,764,41436.0
110010018033,1218,512,55307.0
110010018041,953,539,74522.0
110010018042,2042,695,51559.0
110010018043,2433,763,80711.0
110010019011,985,370,117990.0
110010019012,889,396,154000.0
110010019013,1132,353,160391.0
110010019014,1575,539,
110010019021,1390,485,171875.0
110010019022,822,342,150878.0
110010020011,2137,759,62557.0
110010020012,846,366,164329.0
110010020021,1277,411,250001.0
110010020022,1128,516,
110010020023,1701,585,250001.0
110010021011,1540,704,69551.0
110010021012,1411,529,
110010021013,1749,634,138585.0
110010021014,508,287,203320.0
110010021015,738,359,62168.0
110010021021,1045,394,143974.0
110010021022,1092,716,86102.0
110010021023,618,309,165343.0
110010021024,532,249,
110010021025,1347,489,117702.0
110010021026,409,185,51151.0
110010022011,942,346,147500.0
110010022012,1904,487,143516.0
110010022013,392,153,212679.0
110010022021,1808,668,91348.0
110010022022,572,199,108125.0
110010022023,848,400,94489.0
110010023011,1454,488,173958.0
110010023012,1716,714,125357.0
110010023021,0,0,
110010023022,968,424,112300.0
110010023023,570,413,76950.0
110010024001,817,429,138781.0
110010024002,1238,374,139444.0
110010024003,927,362,161477.0
110010024004,753,345,205139.0
110010025011,1293,550,187222.0
110010025012,1567,510,169113.0
110010025031,1408,862,
110010025032,1501,843,126705.0
110010025041,1143,510,192600.0
110010025042,1989,965,91125.0
110010026001,1193,414,188594.0
110010026002,1385,481,250001.0
110010027021,1504,710,91406.0
110010027022,1626,580,219286.0
110010027023,1070,533,96250.0
110010027024,1378,574,169415.0
110010027031,682,317,234712.0
110010027032,1630,792,128357.0
110010027041,1310,517,185273.0
110010027042,1661,1108,70825.0
110010028011,1557,929,85110.0
110010028012,2320,897,88281.0
110010028021,2332,956,70094.0
110010028022,1036,725,40589.0
110010028023,1583,1024,84174.0
110010029001,1931,766,152206.0
110010029002,2677,921,238185.0
110010030001,1716,871,124926.0
110010030002,1819,751,
110010031001,1105,638,160938.0
110010031002,2424,1279,141080.0
110010032001,1141,328,
110010032002,1019,413,177841.0
110010032003,1423,570,99861.0
110010032004,549,341,134620.0
110010033011,1086,482,250001.0
110010033012,1215,539,240625.0
110010033013,1224,741,200219.0
110010033021,1030,553,163906.0
110010033022,1206,449,159911.0
110010034001,832,509,64784.0
110010034002,0,0,
110010034003,1449,633,163583.0
110010034004,373,80,
110010034005,1390,0,
110010035001,1207,576,138684.0
110010035002,2592,826,89205.0
110010035003,699,505,116477.0
110010036001,1934,1065,124821.0
110010036002,1700,724,67750.0
110010036003,866,459,147985.0
110010037011,730,515,95838.0
110010037012,1465,820,131750.0
110010037021,820,592,166125.0
110010037022,1995,922,
110010038011,684,512,117045.0
110010038012,830,485,230298.0
110010038021,1176,529,160461.0
110010038022,1171,749,152373.0
110010038023,1260,827,153882.0
110010039011,1394,811,105074.0
110010039012,1335,913,195065.0
110010039021,792,570,96000.0
110010039022,982,446,150952.0
110010040011,1729,1035,146542.0
110010040012,677,457,133917.0
110010040013,767,506,144067.0
110010040014,798,411,206083.0
110010040021,888,648,
110010040022,1746,922,177800.0
110010040023,657,525,121339.0
110010041001,1120,687,152448.0
110010041002,344,266,188846.0
110010041003,899,464,199688.0
