bg_geoid,bg_name,area_km2,centroid_lat,centroid_lng
110010001011,"BG 1, Tract 1.01",0.205,38.908632,-77.05459
110010001021,"BG 1, Tract 1.02",0.818,38.914148,-77.061321
110010001022,"BG 2, Tract 1.02",0.1943,38.909116,-77.060659
110010001023,"BG 3, Tract 1.02",1.2108,38.899163,-77.061333
110010002011,"BG 1, Tract 2.01",0.2091,38.910047,-77.076362
110010002012,"BG 2, Tract 2.01",0.2959,38.908631,-77.072915
110010002021,"BG 1, Tract 2.02",0.192,38.913017,-77.068542
110010002022,"BG 2, Tract 2.02",0.1356,38.909191,-77.066706
110010002023,"BG 3, Tract 2.02",0.1545,38.906427,-77.066005
110010002024,"BG 4, Tract 2.02",0.734,38.903762,-77.070932
110010003001,"BG 1, Tract 3.00",0.2501,38.916533,-77.071332
110010003002,"BG 2, Tract 3.00",0.119,38.920776,-77.079784
110010003003,"BG 3, Tract 3.00",0.5116,38.916263,-77.07711
110010003004,"BG 4, Tract 3.00",0.1638,38.920772,-77.075423
110010004001,"BG 1, Tract 4.00",0.5362,38.92744,-77.069933
110010004002,"BG 2, Tract 4.00",1.0051,38.921945,-77.063748
110010005011,"BG 1, Tract 5.01",0.6462,38.928547,-77.050355
110010005012,"BG 2, Tract 5.01",0.0377,38.924493,-77.056919
110010005013,"BG 3, Tract 5.01",0.2858,38.922252,-77.053938
110010005021,"BG 1, Tract 5.02",0.4054,38.927602,-77.060131
110010005022,"BG 2, Tract 5.02",0.1761,38.930088,-77.058253
110010006001,"BG 1, Tract 6.00",0.2139,38.938904,-77.063522
110010006002,"BG 2, Tract 6.00",0.4585,38.933527,-77.062074
110010006003,"BG 3, Tract 6.00",0.1744,38.933146,-77.069373
110010006004,"BG 4, Tract 6.00",0.595,38.938402,-77.07013
110010007021,"BG 1, Tract 7.02",0.1523,38.923834,-77.080121
110010007022,"BG 2, Tract 7.02",0.0797,38.924414,-77.074493
110010007023,"BG 3, Tract 7.02",0.077,38.924412,-77.077001
110010007031,"BG 1, Tract 7.03",0.0941,38.931009,-77.078691
110010007032,"BG 2, Tract 7.03",0.1381,38.927789,-77.079289
110010007041,"BG 1, Tract 7.04",0.1746,38.93186,-77.075136
110010007042,"BG 2, Tract 7.04",0.1577,38.927985,-77.075352
