tract_geoid,population,households,median_household_income
11001000101,1181,803,135708.0
11001000102,3056,1830,159583.0
11001000201,2835,0,
11001000202,3964,1832,152059.0
11001000300,5669,2430,174470.0
11001000400,1715,698,188929.0
11001000501,3490,2220,109116.0
11001000502,3448,1739,157344.0
11001000600,4367,2160,183421.0
11001000702,3239,2182,87750.0
11001000703,2764,1878,119077.0
11001000704,2404,1458,93538.0
11001000802,3136,1458,144250.0
11001000803,2521,1284,143375.0
11001000804,3532,1229,250001.0
11001000902,2134,850,231250.0
11001000903,3201,382,250001.0
11001000904,3250,1191,250001.0
11001001002,3348,1962,157396.0
11001001003,2895,1050,250001.0
11001001004,3959,1550,222692.0
11001001100,4508,2070,206250.0
11001001200,4711,2460,142396.0
11001001301,3965,2090,102321.0
11001001303,3537,2258,100671.0
11001001304,4083,2800,119638.0
11001001401,3324,1351,207344.0
11001001402,3488,1654,185250.0
11001001500,5619,2072,250001.0
11001001600,5071,1789,219241.0
11001001702,3387,1625,133892.0
11001001803,3795,1683,56964.0
11001001804,5428,1997,71113.0
11001001901,4581,1658,109559.0
11001001902,2212,827,164137.0
11001002001,2983,1125,77361.0
11001002002,4106,1512,250001.0
11001002101,5946,2513,85316.0
11001002102,5043,2342,97659.0
11001002201,3238,986,160938.0
11001002202,3228,1267,92805.0
11001002301,3170,1202,144167.0
11001002302,1538,837,106756.0
11001002400,3735,1510,144167.0
11001002501,2860,1060,173913.0
11001002503,2909,1705,122526.0
11001002504,3132,1475,109918.0
11001002600,2578,895,250001.0
11001002702,5578,2397,137910.0
11001002703,2312,1109,134702.0
11001002704,2971,1625,88504.0
11001002801,3877,1826,86029.0
11001002802,4951,2705,82675.0
11001002900,4608,1687,187125.0
11001003000,3535,1622,103100.0
11001003100,3529,1917,151635.0
11001003200,4132,1652,135625.0
11001003301,3525,1762,219831.0
11001003302,2236,1002,161250.0
11001003400,4044,1222,109250.0
11001003500,4498,1907,109403.0
11001003600,4500,2248,123810.0
11001003701,2195,1335,105365.0
11001003702,2815,1514,89792.0
11001003801,1514,997,132188.0
11001003802,3607,2105,159182.0
11001003901,2729,1724,129095.0
11001003902,1774,1016,114700.0
11001004001,3971,2409,148125.0
11001004002,3291,2095,167102.0
11001004100,2363,1417,170288.0
11001004201,3224,1928,150455.0
11001004202,2613,1615,101146.0
11001004300,4387,2665,132076.0
11001004401,3388,1869,209013.0
11001004402,2503,1234,177902.0
11001004600,3058,1498,147237.0
11001004702,3476,2264,145254.0
11001004703,3400,1916,81458.0
11001004704,1580,728,11094.0
11001004801,2751,1479,171694.0
11001004802,2974,1662,121574.0
11001004901,3381,1909,103839.0
11001004902,3367,2182,160000.0
11001005001,2064,1104,241548.0
11001005003,1766,1117,145175.0
11001005004,3703,2265,82386.0
11001005202,2973,2080,158919.0
11001005203,3114,2346,106923.0
11001005302,2547,1606,138241.0
11001005303,2503,1985,104085.0
11001005501,1759,1271,139738.0
11001005502,2487,1561,112736.0
11001005503,1693,1190,100547.0
11001005601,2508,1992,79524.0
11001005602,4034,1976,115930.0
11001005801,1780,1104,148333.0
11001005802,1936,1367,151659.0
11001005900,2403,1483,129901.0
11001006400,2978,1674,83409.0
11001006500,2549,1365,151464.0
11001006600,2150,1091,163783.0
11001006700,3930,2087,166250.0
11001006801,2271,1026,171466.0
11001006802,2264,1045,162173.0
11001006804,2143,36,111579.0
11001006900,2913,1392,206429.0
11001007000,2462,1057,176875.0
11001007100,3485,1571,122071.0
11001007201,2850,2116,136333.0
11001007202,5262,3599,160333.0
11001007203,3305,1920,166316.0
11001007301,4592,1333,124519.0
11001007304,4383,2150,41833.0
11001007401,1458,773,
11001007403,2779,970,21850.0
11001007404,4304,1379,52412.0
11001007406,2803,1268,53138.0
11001007407,3407,1499,52917.0
11001007408,4124,1422,24487.0
11001007409,3387,1754,40789.0
11001007502,4999,1900,44746.0
11001007503,2440,945,59653.0
11001007504,2815,1355,38188.0
11001007601,4949,2073,56580.0
11001007603,4281,2196,83250.0
11001007604,3738,1959,85737.0
11001007605,3793,1978,53814.0
11001007703,7140,2307,62429.0
11001007707,4345,1836,59512.0
11001007708,2444,1149,51573.0
11001007709,2512,1271,48508.0
11001007803,4968,2523,48456.0
11001007804,4078,1589,
11001007806,2361,1163,50607.0
11001007807,2477,919,57750.0
11001007808,4105,1560,68782.0
11001007809,3134,1192,75686.0
11001007901,4397,1693,98566.0
11001007903,1859,786,98387.0
11001008001,3058,1441,208750.0
11001008002,3286,1424,135938.0
11001008100,3183,1544,171235.0
11001008200,2805,1512,129808.0
11001008301,3077,1627,173542.0
11001008302,2871,1309,166131.0
11001008402,2557,1423,125231.0
11001008410,2138,845,201875.0
11001008701,2618,1146,191842.0
11001008702,3521,2171,103750.0
11001008802,4605,1962,78505.0
11001008803,4473,2057,91317.0
11001008804,2338,1505,100320.0
11001008903,3668,1684,57653.0
11001008904,3826,1818,63140.0
11001009000,3679,2383,64190.0
11001009102,4352,1923,70548.0
11001009201,3058,1289,96445.0
11001009203,3320,1565,123266.0
11001009204,3388,1621,45575.0
11001009301,3388,1417,186063.0
11001009302,1821,996,106364.0
11001009400,4966,1849,144230.0
11001009503,3438,1202,121628.0
11001009504,3037,1214,103469.0
11001009505,4407,1871,96106.0
11001009507,1636,587,104250.0
11001009508,3910,1880,90903.0
11001009509,3274,1388,116613.0
11001009510,4788,1925,61005.0
11001009511,1426,0,
