tract_geoid,tract_name,area_km2,centroid_lat,centroid_lng
11001000101,Tract 1.01,0.205,38.908632,-77.05459
11001000102,Tract 1.02,2.2231,38.905547,-77.061269
11001000201,Tract 2.01,0.505,38.909217,-77.074342
11001000202,Tract 2.02,1.2161,38.906168,-77.069458
11001000300,Tract 3,1.0445,38.917549,-77.075766
11001000400,Tract 4,1.5413,38.923857,-77.0659
11001000501,Tract 5.01,0.9697,38.926534,-77.051666
11001000502,Tract 5.02,0.5815,38.928355,-77.059562
11001000600,Tract 6,1.4419,38.93629,-77.066496
11001000702,Tract 7.02,0.309,38.924127,-77.077893
11001000703,Tract 7.03,0.2321,38.929094,-77.079046
11001000704,Tract 7.04,0.3323,38.930022,-77.075238
11001000802,Tract 8.02,2.3586,38.910597,-77.087391
11001000803,Tract 8.03,0.3082,38.933643,-77.083522
11001000804,Tract 8.04,2.7348,38.923312,-77.091888
11001000902,Tract 9.02,2.1744,38.928026,-77.107472
11001000903,Tract 9.03,0.9281,38.937682,-77.093331
11001000904,Tract 9.04,2.0999,38.938286,-77.103668
11001001002,Tract 10.02,0.8897,38.938422,-77.078887
11001001003,Tract 10.03,0.9825,38.949236,-77.093074
11001001004,Tract 10.04,1.4719,38.948767,-77.085389
11001001100,Tract 11,1.6766,38.957243,-77.077673
11001001200,Tract 12,1.2192,38.946222,-77.070522
11001001301,Tract 13.01,2.882,38.953818,-77.054503
11001001303,Tract 13.03,0.8948,38.944587,-77.057099
11001001304,Tract 13.04,0.7166,38.936806,-77.054757
11001001401,Tract 14.01,0.7881,38.965304,-77.070608
11001001402,Tract 14.02,0.8952,38.960605,-77.063093
11001001500,Tract 15,4.7245,38.973528,-77.054009
11001001600,Tract 16,2.6753,38.98461,-77.037801
11001001702,Tract 17.02,0.9392,38.971723,-77.016068
11001001803,Tract 18.03,1.1682,38.967078,-77.039734
11001001804,Tract 18.04,0.6017,38.967095,-77.030433
11001001901,Tract 19.01,0.7693,38.964685,-77.023633
11001001902,Tract 19.02,0.8773,38.96393,-77.015646
11001002001,Tract 20.01,0.6338,38.959347,-77.035929
11001002002,Tract 20.02,0.8493,38.952501,-77.031082
11001002101,Tract 21.01,0.601,38.955912,-77.024131
11001002102,Tract 21.02,0.7259,38.955785,-77.014236
11001002201,Tract 22.01,0.4152,38.949134,-77.023293
11001002202,Tract 22.02,0.6994,38.948824,-77.013878
11001002301,Tract 23.01,0.4077,38.942552,-77.016591
11001002302,Tract 23.02,2.0161,38.933882,-77.010899
11001002400,Tract 24,0.5564,38.941782,-77.022406
