neighborhood_name,population,households,median_household_income
16th Street Heights,5548,2091,176343.0
"9th St NW-13th St NW, Washington DC",2532,1265,168408.0
Adams Morgan,11509,7074,154730.0
American University Park,4917,1840,238803.0
Anacostia,3861,1635,51219.0
Arlingwood,17,7,231250.0
Armesleigh Park,282,147,142396.0
Barnaby Woods,872,321,250001.0
Barney Circle,881,386,145019.0
Barry Farm,341,181,0.0
Bellevue,2474,1314,55488.0
Benning,4404,2061,54793.0
Benning Ridge,6931,2815,63543.0
Blagden Alley-Naylor Court Historic District,723,469,159822.0
Bloomingdale,5787,2761,196306.0
Brentwood,2420,1069,70548.0
Brightwood Park,11446,4731,110644.0
Burrville,1120,415,57750.0
Buzzard Point,1278,719,83446.0
Capitol Hill,16665,8189,167369.0
Capitol View,4239,1582,81145.0
Cardozo/Shaw,9884,5284,168259.0
Cathedral Heights,8986,5329,130268.0
Central Northeast,4475,2226,45698.0
Chinatown,292,186,149009.0
Civic Betterment,865,366,59528.0
Cleveland Park,6311,3477,163998.0
Colonial Village,1036,366,219241.0
Columbia Heights,29596,14318,114652.0
Congress Heights,7721,3471,51041.0
Crestwood,1150,399,250001.0
Deanwood,6073,2576,59490.0
Douglass,3873,1488,40839.0
Downtown East,1845,1139,129903.0
Dupont Circle,16799,10942,126982.0
Dupont Park,734,352,73309.0
Eckington,6639,3495,126632.0
Edgewood,9596,4410,88167.0
Fairfax Village,695,357,83251.0
Fairlawn,6414,3030,55137.0
Foggy Bottom,5121,2649,100279.0
Forest Hills,5173,3225,103634.0
Fort Davis Park,1383,628,89740.0
Fort Dupont,3964,1283,62568.0
Fort Lincoln,3057,1980,64190.0
Fort Stanton,708,312,52917.0
Fort Totten,5949,2495,80984.0
Foxhall Crescent,1313,457,249805.0
Foxhall Village,1952,886,149592.0
Garfield Heights,1873,646,24576.0
Gateway,553,206,85913.0
George Washington University,2211,757,51535.0
Georgetown,9949,3821,108342.0
Georgetown Reservoir,1053,489,144896.0
Glover Park,6660,3698,129410.0
Golden Triangle,3180,1823,83767.0
Grant Park,2417,915,69366.0
Greater U Street Historic District,9024,5080,161020.0
Greenway,1645,781,51180.0
Hawthorne,471,174,250001.0
Hill East,7870,2933,148516.0
Hillcrest,3145,1631,84484.0
Hillsdale,5085,2287,51197.0
Howard University,1265,382,109250.0
Kalorama Heights,1964,1178,170192.0
Kingman Park,6080,2410,98729.0
Knox Hill/Buena Vista,4245,1556,36827.0
Lamond Riggs,4369,1923,106733.0
Langdon,1558,620,80255.0
Langston,3093,1376,68440.0
Lanier Heights,3578,2193,124499.0
Le Droit Park,1212,366,109250.0
Lincoln Heights,2430,947,20.0
Logan Circle/Shaw,19698,12060,136920.0
Manor Park,5136,2185,121528.0
Marshall Heights,8535,3424,70188.0
Massachusetts Avenue Heights,288,117,188929.0
McLean Gardens,1047,614,157396.0
Mount Pleasant,8421,3925,128113.0
Mount Vernon Square,8103,4853,113026.0
Navy Yard,2798,1848,132332.0
Naylor Gardens,1882,965,83269.0
Near Southeast,7830,5026,162060.0
NoMa,4185,2886,115827.0
North Capitol Street,3259,1846,85562.0
North Cleveland Park,3352,1739,145987.0
North Portal Estates,559,197,219241.0
Park View,3608,1442,135625.0
Penn Branch,369,166,102422.0
Petworth,16915,7153,142361.0
Pleasant Hill,1689,515,46241.0
Pleasant Plains,4815,2278,142028.0
Randle Highlands,1244,652,85737.0
River Terrace,993,444,81167.0
Shepherd Park,1948,687,219231.0
Shipley Terrace,2989,1365,33944.0
Skyland,1959,790,46249.0
South Central,26,10,85913.0
Southwest Employment Area,2960,1853,113296.0
Southwest Waterfront,9540,5916,112582.0
Spring Valley,4415,838,249999.0
Stanton Park,14014,6987,165825.0
Stronghold,289,136,123266.0
Tenleytown,1502,677,200319.0
The Palisades,1997,761,241329.0
The Wharf,492,329,115568.0
Truxton Circle,3476,1807,142926.0
Twining,1194,581,67007.0
University Heights,3792,1115,66280.0
Van Ness,1232,643,142396.0
Washington Highlands,11592,5529,42109.0
Wesley Heights,798,278,250001.0
West End,3864,2824,111791.0
Woodland,629,232,38001.0
Woodland-Normanstone,1020,475,168877.0
Woodley Park,3805,2028,146835.0
Woodridge,3095,1152,134193.0
